tags,elapsed_s,start_unix,end_unix
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-36859.zip']",92.31,1713122654.58,1713122746.89
"['initialize-parser', 'b79aa130-d382-4c01-adee-33b50d52554f']",0.00,1713122748.07,1713122748.07
"['parser-parse', '88138345-194c-4dcb-8d1f-d71f5f7a14bd']",60.44,1713122686.44,1713122746.88
"['write-jsonl', '88138345-194c-4dcb-8d1f-d71f5f7a14bd']",0.00,1713122746.88,1713122746.88
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-36164.zip']",92.13,1713122654.75,1713122746.88
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-36164.zip']",92.27,1713122654.61,1713122746.88
"['initialize-parser', '297dfc80-ebb3-488b-afc1-beaf10bb6709']",0.00,1713122748.09,1713122748.09
"['parser-parse', 'ca482bc8-44aa-45b3-b906-3d81cac52cfb']",60.13,1713122686.75,1713122746.89
"['write-jsonl', 'ca482bc8-44aa-45b3-b906-3d81cac52cfb']",0.00,1713122746.89,1713122746.89
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-12296.zip']",92.17,1713122654.72,1713122746.89
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-12296.zip']",92.31,1713122654.58,1713122746.89
"['initialize-parser', '1c6afc0b-24d4-404a-baa2-b135d8aacb9e']",0.00,1713122748.30,1713122748.30
"['parser-parse', 'e1490a0a-6bff-49f8-a859-1cf55b3f1814']",54.87,1713122744.61,1713122799.48
"['write-jsonl', 'e1490a0a-6bff-49f8-a859-1cf55b3f1814']",0.00,1713122799.48,1713122799.48
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-20570.zip']",54.88,1713122744.60,1713122799.48
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-20570.zip']",56.51,1713122742.98,1713122799.48
"['initialize-parser', '65ede09c-51b9-4c40-979a-2541e6db444a']",0.00,1713122801.12,1713122801.12
"['parser-parse', 'fc26b11c-b398-42a1-a01d-80a88e8c4d97']",55.60,1713122745.68,1713122801.28
